,LC_top,LC_bottom,s_since_start
122,138124690000.0,99366494000.0,325.3333333333333
123,138006380000.0,99227120000.0,328.0
124,138520890000.0,99546010000.0,330.66666666666663
125,138523380000.0,99573900000.0,333.3333333333333
126,138469720000.0,99549946000.0,336.0
127,138472460000.0,99523084000.0,338.66666666666663
128,138420550000.0,99480210000.0,341.3333333333333
129,138414230000.0,99470926000.0,344.0
130,138321220000.0,99421260000.0,346.66666666666663
131,138189720000.0,99362700000.0,349.3333333333333
132,138353560000.0,99417645000.0,352.0
133,138359960000.0,99429910000.0,354.66666666666663
134,138290090000.0,99414240000.0,357.3333333333333
135,138037070000.0,99196625000.0,360.0
136,137669020000.0,98940305000.0,362.66666666666663
137,137708260000.0,99004610000.0,365.3333333333333
138,137550150000.0,98934580000.0,368.0
139,137576020000.0,98928720000.0,370.66666666666663
140,138206760000.0,99344150000.0,373.3333333333333
141,138384950000.0,99458060000.0,376.0
142,138277770000.0,99400060000.0,378.66666666666663
143,138366060000.0,99374580000.0,381.3333333333333
144,138336850000.0,99389280000.0,384.0
145,138142530000.0,99241570000.0,386.66666666666663
146,138237590000.0,99283440000.0,389.3333333333333
147,138087870000.0,99206650000.0,392.0
148,138557390000.0,99546500000.0,394.66666666666663
149,138131340000.0,99322570000.0,397.3333333333333
150,138654580000.0,99587604000.0,400.0
151,138688770000.0,99601340000.0,402.66666666666663
152,138666510000.0,99608850000.0,405.3333333333333
153,138232560000.0,99363200000.0,408.0
154,138126330000.0,99261280000.0,410.66666666666663
155,138044100000.0,99172570000.0,413.3333333333333
156,138106370000.0,99247800000.0,416.0
157,138351000000.0,99382470000.0,418.66666666666663
158,138155160000.0,99307960000.0,421.3333333333333
159,138269470000.0,99377630000.0,424.0
160,138301240000.0,99420450000.0,426.66666666666663
161,138024730000.0,99274410000.0,429.3333333333333
162,137847440000.0,99152550000.0,432.0
163,138046310000.0,99315060000.0,434.66666666666663
164,138349660000.0,99511420000.0,437.3333333333333
165,138214740000.0,99509390000.0,440.0
166,138182230000.0,99453090000.0,442.66666666666663
167,138081480000.0,99426165000.0,445.3333333333333
168,138039540000.0,99399680000.0,448.0
169,137984640000.0,99409520000.0,450.66666666666663
170,137947920000.0,99418970000.0,453.3333333333333
171,137916830000.0,99459350000.0,456.0
172,137920740000.0,99481260000.0,458.66666666666663
173,137824880000.0,99467380000.0,461.3333333333333
174,137803240000.0,99455540000.0,464.0
175,137741250000.0,99465060000.0,466.66666666666663
176,137709450000.0,99477290000.0,469.3333333333333
177,137701130000.0,99435500000.0,472.0
178,137666200000.0,99463260000.0,474.66666666666663
179,137569830000.0,99409570000.0,477.3333333333333
180,137469170000.0,99349720000.0,480.0
181,137311986000.0,99277046000.0,482.66666666666663
182,137044664000.0,99104050000.0,485.3333333333333
183,137063590000.0,99141660000.0,488.0
184,137201500000.0,99214560000.0,490.66666666666663
185,137268940000.0,99237870000.0,493.3333333333333
186,137094690000.0,99147640000.0,496.0
187,136838310000.0,98971090000.0,498.66666666666663
